textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=VIA Map area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=VIA Map area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Stairs VIA concourse down to GO trains/level1h=Main Hall/level2h=Navigation/level3h=Stairs/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Stairs VIA concourse down to GO trains/level1h=Main Hall/level2h=Navigation/level3h=Stairs/beacon=train_station_ambient/srange=8/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Stairs VIA concourse down to GO trains/level1h=Main Hall/level2h=Navigation/level3h=Stairs/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=VIA Info area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=VIA Info area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2
textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=VIA Map area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=VIA Map area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Stairs VIA concourse down to GO trains/level1h=Main Hall/level2h=Navigation/level3h=Stairs/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Stairs VIA concourse down to GO trains/level1h=Main Hall/level2h=Navigation/level3h=Stairs/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Stairs VIA concourse down to GO trains/level1h=Main Hall/level2h=Navigation/level3h=Stairs/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=VIA Info area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=VIA Info area/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2,textAppears=Wall/zoom_out_csv=1-2
textAppears=Bay Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Bay Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/beacon=ticket_counter/srange=6/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Bay Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,textAppears=Bay Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/warpfile=south_corner_main.csv/zoom_out_csv=1-2,,textAppears=Pillar/zoom_out_csv=1-2,,textAppears=Pillar/zoom_out_csv=1-2,,textAppears=VIA Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2,textAppears=VIA Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2,textAppears=VIA Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2,textAppears=VIA Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/beacon=ticket_counter/srange=6/zoom_out_csv=1-2,textAppears=VIA Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2,textAppears=VIA Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2,textAppears=VIA Trains Ticket Counter/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2
,,,,,,,,,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2
,,,,,textAppears=Tall info sign/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2,,textAppears=Tall info sign/level1h=Main Hall/level2h=Tickets and Information/zoom_out_csv=1-2,,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2,textAppears=Belt queue/zoom_out_csv=1-2
